"ID","Title","Blurb","Authors","Genres","Page Count","Pages Read","Date Added","Date Started","Date Finished","Reading State","Cover URL","Progress Entries"
"GrYsEAAAQBAJ","Project Hail Mary","The sole survivor on a desperate, last-chance mission to save both humanity and the earth, Ryland Grace is hurtled into the depths of space when he must conquer an extinction-level threat to our species.","Andy Weir","","496","0","2021-08-13T06:42:38Z","2021-07-27T06:00:30Z","","Unread","https://tse1.mm.bing.net/th?id=OIP.064wUG-R7MXz7XKq8fgGngHaLK&pid=Api",""
"QCPBDwAAQBAJ","Rhythm of War","An instant #1 New York Times Bestseller and a USA Today and Indie Bestseller! The Stormlight Archive saga continues in Rhythm of War, the eagerly awaited sequel to Brandon Sanderson's #1 New York Times bestselling Oathbringer, from an epic fantasy writer at the top of his game. After forming a coalition of human resistance against the enemy invasion, Dalinar Kholin and his Knights Radiant have spent a year fighting a protracted, brutal war. Neither side has gained an advantage, and the threat of a betrayal by Dalinar’s crafty ally Taravangian looms over every strategic move. Now, as new technological discoveries by Navani Kholin’s scholars begin to change the face of the war, the enemy prepares a bold and dangerous operation. The arms race that follows will challenge the very core of the Radiant ideals, and potentially reveal the secrets of the ancient tower that was once the heart of their strength. At the same time that Kaladin Stormblessed must come to grips with his changing role within the Knights Radiant, his Windrunners face their own problem: As more and more deadly enemy Fused awaken to wage war, no more honorspren are willing to bond with humans to increase the number of Radiants. Adolin and Shallan must lead the coalition’s envoy to the honorspren stronghold of Lasting Integrity and either convince the spren to join the cause against the evil god Odium, or personally face the storm of failure. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer Rhythm of War The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","Brandon Sanderson","Fantasy","1395","1200","2021-05-01T08:09:00Z","2021-07-19T13:35:01Z","2021-09-15T23:21:47Z","Reading","https://tse4.mm.bing.net/th?id=OIP.9oxhhhZBIIaiB-3syR3ViAAAAA&pid=Api","2021-09-15T23:24:00Z=1200,2021-08-12T13:03:42Z=719,2021-08-11T13:53:27Z=695,2021-08-10T23:17:38Z=674,2021-08-10T13:17:33Z=656,2021-08-09T22:48:39Z=627,2021-08-09T13:25:01Z=612,2021-08-08T13:16:23Z=582,2021-08-07T13:06:03Z=548,2021-08-06T13:35:00Z=533,2021-08-04T13:28:49Z=506,2021-08-03T13:29:31Z=481,2021-08-02T13:27:36Z=461,2021-08-01T13:27:03Z=431,2021-07-31T13:35:17Z=409,2021-07-29T13:58:57Z=379,2021-07-27T13:12:57Z=346,2021-07-26T13:44:38Z=336,2021-07-25T13:35:29Z=294,2021-07-24T13:40:43Z=269,2021-07-23T13:31:53Z=255,2021-07-22T13:30:37Z=218,2021-07-22T07:53:12Z=181,2021-07-21T13:39:12Z=157,2021-07-21T08:04:54Z=129,2021-07-20T13:12:14Z=100,2021-07-20T07:34:19Z=84,2021-07-20T04:31:13Z=66,2021-07-19T22:51:52Z=47,2021-07-19T13:59:00Z=35,2021-07-19T13:35:01Z=0"
"YjEuCAAAQBAJ","Shadows of Self","Fans of Robert Jordan and George RR Martin alike have found a new champion of epic fantasy in Brandon Sanderson. And now, in the first of two sequels to The Alloy Of Law the Sunday Times and New York Times bestselling author returns to the world of Mistborn anda hunt for a mysterious assassin. The criminal elite of Elendel were invited to an auction - which became a massacre, when an unknown assailant slaughtered everyone in attendance. Now Wax and Wayne, both able to use magic, both lawmen from the rough and ungoverned frontier territories, are on the case. All the clues suggest the killer is a rogue kandra - a secretive, almost mythical, figure who acts from the shadows - called Bleeder . . . and that the governor is her next target. Bleeder, and the conspiracy behind the killings, has to be stopped . . . before the city is plunged into chaos. A brilliant adventure and a gripping story, Shadows of Self offers fans of The Alloy of Law everything they've been hoping for and, this being a Brandon Sanderson book, more, much more.","Brandon Sanderson","","320","320","2021-08-13T06:42:38Z","2021-01-05T23:44:00Z","2021-01-07T23:44:00Z","Read","https://tse1.mm.bing.net/th?id=OIP.S23i0TttVdCsthf_COXjxQHaLR&pid=Api",""
"ikJDDwAAQBAJ","Skyward","Spensa's world has been under attack for hundreds of years. An alien race called the Krell leads onslaught after onslaught from the sky in a never-ending campaign to destroy humankind. Humanity's only defense is to take to their ships and fight the enemy in the skies. Pilots have become the heroes of what's left of the human race. Spensa has always dreamed of being one of them; of soaring above Earth and proving her bravery. But her fate is intertwined with her father's - a pilot who was killed years ago when he abruptly deserted his team, placing Spensa's chances of attending flight school somewhere between slim and none. No one will let Spensa forget what her father did, but she is still determined to fly. And the Krell just made that a possibility. They've doubled their fleet, making Spensa's world twice as dangerous . . . but their desperation to survive might just take her skyward . . . Praise for Brandon Sanderson's #1 New York Times Bestselling Reckoners series: 'Another win for Sanderson . . . he's simply a brilliant writer' Patrick Rothfuss 'Action-packed' EW.com 'Compelling . . . Sanderson uses plot twists that he teases enough for readers to pick up on to distract from the more dramatic reveals he has in store' AV Club","Brandon Sanderson","","528","0","2021-08-13T06:42:38Z","2021-07-26T11:01:12Z","","Unread","https://tse2.mm.bing.net/th?id=OIP.w9fbdud_UdxgRVc8wtk5BAHaLa&pid=Api",""
"eafg1wsAPJMC","The Alloy of Law","The Mistborn trilogy has become a firm favourite with fantasy fans the world over. The imagination that Sanderson brought to the series and his skill at marshalling epic storylines and dramatic action, his ability to create vivid characters made him a natural choice to complete Robert Jordan's epic wheel of time sequence. But with Mistborn, his standalone fantasies and his new series, The Stormlight Archive, Sanderson has shown his bountiful talents in his own fiction. Now he returns to the series that made his name with a new story set years after the events of Hero of Ages. In a world recovering only slowly from evil, a world where allomancers wield immense power through their ability to unleash the magic bound up in common metals someone who can burn metals that no-one has burned before can tip the balance... Sanderson has the knack of giving the epic fantasy reader exactly what they want. This ability has thrown him to the forefront of the genre and the dramatic story within The Alloy of Law shows off this skill to its very best.","Brandon Sanderson","","336","336","2021-08-13T06:42:38Z","2021-01-02T23:44:00Z","2021-01-05T23:44:00Z","Read","https://tse2.mm.bing.net/th?id=OIP.g5pC_j-3wWPhq6_dXgCGUQHaLU&pid=Api",""
"C5wwCgAAQBAJ","The Bands of Mourning","The Mistborn trilogy has become a firm favourite with fantasy fans the world over. The imagination that Sanderson brought to the series and his skill at marshalling epic storylines and dramatic action, his ability to create vivid characters made him a natural choice to complete Robert Jordan's epic wheel of time sequence. But with Mistborn, Sanderson has shown his bountiful talents in his own fiction. Now he returns to the series that made his name with a new story, building on the incredible success of THE ALLOY OF LAW. The new Mistborn books move the series into a richly imagined 19th century analogue world with elements of the wild west mixed with magic and science. It's a wonderful concoction from a master storyteller. Sanderson has the knack of giving the epic fantasy reader exactly what they want. This ability has thrown him to the forefront of the genre and this novel will take him to the next level.","Brandon Sanderson","","448","448","2021-08-13T06:42:38Z","2021-01-07T23:43:00Z","2021-01-11T23:43:00Z","Read","https://tse4.mm.bing.net/th?id=OIP.uj2_daBaAhuyE6v6aJ1KwAHaLW&pid=Api",""
"m6ziwAEACAAJ","The Emperor's Soul","Sentenced to death after attempting to steal the emperor's scepter, Shai, a Forger, is given one chance to save her own life, using it to try to create a new soul for the nearly dead emperor.","Brandon Sanderson","","175","175","2021-08-13T06:42:38Z","2021-03-12T23:39:00Z","2021-03-14T23:39:00Z","Read","https://tse2.mm.bing.net/th?id=OIP.r2ORSzysqh2lJiXtidoj1AHaL2&pid=Api",""
"MXj0THxYdkMC","The Eye Of The World","'Epic in every sense' - Sunday Times The first novel in the Wheel of Time series - one of the most influential and popular fantasy epics ever published. The Wheel of Time turns and Ages come and pass, leaving memories that become legend. Legend fades to myth and even myth is long forgotten when the Age that gave it birth returns again. But one truth remains, and what mortal men forget, the Aes Sedai do not . . . What was, what will be, and what is, may yet fall under the shadow. 'With the Wheel of Time, Jordan has come to dominate the world that Tolkien began to reveal' New York Times 'A fantasy phenomenon' SFX The Wheel of Time The Eye of the World The Great Hunt The Dragon Reborn The Shadow Rising The Fires of Heaven Lord of Chaos A Crown of Swords The Path of Daggers Winter's Heart Crossroads of Twilight Knife of Dreams The Gathering Storm Towers of Midnight A Memory of Light New Spring (prequel)","Robert Jordan","","832","0","2021-08-13T06:42:38Z","2021-07-26T09:45:46Z","","Unread","https://tse1.mm.bing.net/th?id=OIP.j2G8ZK-T5h4kd2QuQDZHSwHaLQ&pid=Api",""
"vbsg3vQ8YnMC","The Final Empire","","Brandon Sanderson","","672","672","2021-08-13T06:42:38Z","2020-09-29T00:46:00Z","2020-10-10T23:46:00Z","Read","https://tse2.mm.bing.net/th?id=OIP.PQ-AZdApEjqlejUEiQyfewHaLb&pid=Api",""
"7wV6JAOGRTYC","The Hero of Ages","","Brandon Sanderson","","768","768","2021-08-13T06:42:38Z","2020-11-18T23:46:00Z","2020-12-28T23:47:00Z","Read","https://tse1.mm.bing.net/th?id=OIP.WLq1RfrLJuNpyNSaujYZnAHaLW&pid=Api",""
"pD6arNyKyi8C","The Hobbit","A great modern classic and the prelude to The Lord of the Rings. Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely traveling any farther than his pantry or cellar. But his contentment is disturbed when the wizard Gandalf and a company of dwarves arrive on his doorstep one day to whisk him away on an adventure. They have launched a plot to raid the treasure hoard guarded by Smaug the Magnificent, a large and very dangerous dragon. Bilbo reluctantly joins their quest, unaware that on his journey to the Lonely Mountain he will encounter both a magic ring and a frightening creature known as Gollum. “A glorious account of a magnificent adventure, filled with suspense and seasoned with a quiet humor that is irresistible . . . All those, young or old, who love a fine adventurous tale, beautifully told, will take The Hobbit to their hearts.” – New York Times Book Review","J.R.R. Tolkien","","288","0","2021-08-13T06:42:38Z","2021-07-26T09:41:02Z","","Unread","https://tse2.mm.bing.net/th?id=OIP.mHPm7RopBOSK_t-8uYFVEQHaLw&pid=Api",""
"BcG2dVRXKukC","The Name of the Wind","'This is a magnificent book' Anne McCaffrey 'I was reminded of Ursula K. Le Guin, George R. R. Martin, and J. R. R. Tolkein, but never felt that Rothfuss was imitating anyone' THE TIMES 'I have stolen princesses back from sleeping barrow kings. I burned down the town of Trebon. I have spent the night with Felurian and left with both my sanity and my life. I was expelled from the University at a younger age than most people are allowed in. I tread paths by moonlight that others fear to speak of during day. I have talked to Gods, loved women, and written songs that make the minstrels weep. My name is Kvothe. You may have heard of me' So begins the tale of Kvothe - currently known as Kote, the unassuming innkeepter - from his childhood in a troupe of traveling players, through his years spent as a near-feral orphan in a crime-riddled city, to his daringly brazen yet successful bid to enter a difficult and dangerous school of magic. In these pages you will come to know Kvothe the notorious magician, the accomplished thief, the masterful musician, the dragon-slayer, the legend-hunter, the lover, the thief and the infamous assassin.","Patrick Rothfuss","","672","0","2021-08-13T06:42:38Z","2021-08-10T23:51:01Z","","Unread","https://tse1.mm.bing.net/th?id=OIP.nEII_OEb_4153Lwru2xVEgAAAA&pid=Api",""
"c74wDwAAQBAJ","The Poppy War","“I have no doubt this will end up being the best fantasy debut of the year [...] I have absolutely no doubt that [Kuang’s] name will be up there with the likes of Robin Hobb and N.K. Jemisin.” -- Booknest A Library Journal, Paste Magazine, Vulture, BookBub, and ENTROPY Best Books of 2018 pick! Washington Post “5 Best Science Fiction and Fantasy Novel of 2018“ pick! A Bustle “30 Best Fiction Books of 2018“ pick! A brilliantly imaginative talent makes her exciting debut with this epic historical military fantasy, inspired by the bloody history of China’s twentieth century and filled with treachery and magic, in the tradition of Ken Liu’s Grace of Kings and N.K. Jemisin’s Inheritance Trilogy. When Rin aced the Keju—the Empire-wide test to find the most talented youth to learn at the Academies—it was a shock to everyone: to the test officials, who couldn’t believe a war orphan from Rooster Province could pass without cheating; to Rin’s guardians, who believed they’d finally be able to marry her off and further their criminal enterprise; and to Rin herself, who realized she was finally free of the servitude and despair that had made up her daily existence. That she got into Sinegard—the most elite military school in Nikan—was even more surprising. But surprises aren’t always good. Because being a dark-skinned peasant girl from the south is not an easy thing at Sinegard. Targeted from the outset by rival classmates for her color, poverty, and gender, Rin discovers she possesses a lethal, unearthly power—an aptitude for the nearly-mythical art of shamanism. Exploring the depths of her gift with the help of a seemingly insane teacher and psychoactive substances, Rin learns that gods long thought dead are very much alive—and that mastering control over those powers could mean more than just surviving school. For while the Nikara Empire is at peace, the Federation of Mugen still lurks across a narrow sea. The militarily advanced Federation occupied Nikan for decades after the First Poppy War, and only barely lost the continent in the Second. And while most of the people are complacent to go about their lives, a few are aware that a Third Poppy War is just a spark away . . . Rin’s shamanic powers may be the only way to save her people. But as she finds out more about the god that has chosen her, the vengeful Phoenix, she fears that winning the war may cost her humanity . . . and that it may already be too late.","R. F. Kuang","","544","0","2021-08-13T06:42:38Z","2021-07-26T11:02:17Z","","Unread","https://tse1.mm.bing.net/th?id=OIP.--9A27LVi9sld_juiiQD4QAAAA&pid=Api",""
"GfXeDwAAQBAJ","The Shadow of the Gods","'A masterfully crafted, brutally compelling Norse-inspired epic' Anthony Ryan THE GREATEST SAGAS ARE WRITTEN IN BLOOD. A century has passed since the gods fought and drove themselves to extinction. Now only their bones remain, promising great power to those brave enough to seek them out. As whispers of war echo across the land of Vigrið, fate follows in the footsteps of three warriors: a huntress on a dangerous quest, a noblewoman pursuing battle fame, and a thrall seeking vengeance among the mercenaries known as the Bloodsworn. All three will shape the fate of the world as it once more falls under the shadow of the gods. Set in a brand-new, Norse-inspired world, and packed with myth, magic and bloody vengeance, The Shadow of the Gods begins an epic new fantasy saga from bestselling author John Gwynne. Further praise for The Shadow of the Gods 'Visceral, heart-breaking and unputdownable' Jay Kristoff 'A satisfying and riveting read. The well-realised characters move against a backdrop of a world stunning in its immensity. It's everything I've come to expect from a John Gwynne book' Robin Hobb 'A masterclass in storytelling . . . epic, gritty fantasy with an uncompromising amount of heart' FanFiAddict 'Quintessential Gwynne honed to perfection . . . The Shadow of the Gods is absolutely stunning, one hell of an epic series opener and a spectacular dose of Viking-flavoured fantasy' The Tattooed Book Geek 'Reminds me of all that I love in the fantasy genre. The Shadow of the Gods is an action-packed cinematic read' Fantasy Hive","John Gwynne","","496","0","2021-08-13T06:42:38Z","","","Unread","https://tse2.mm.bing.net/th?id=OIP.yLKOLCxvw28GEQ8nxEfhRQHaLn&pid=Api",""
"LN_a49HEpmwC","The Way of Kings","","Brandon Sanderson","","1258","1258","2021-08-13T06:42:38Z","2021-02-01T06:05:00Z","2021-03-12T06:05:00Z","Read","https://tse4.mm.bing.net/th?id=OIP.lZONVAkIJOLe35oY6FGblwHaLH&pid=Api",""
"d3ewPoqF04kC","The Well of Ascension","","Brandon Sanderson","","800","800","2021-08-13T06:42:38Z","2020-10-11T23:46:00Z","2020-11-17T23:46:00Z","Read","https://tse1.mm.bing.net/th?id=OIP.Pdt2TSsHokwiRE4Nh0j6tQHaLS&pid=Api",""
"vci9DwAAQBAJ","To Sleep in a Sea of Stars","Now a New York Times and USA Today bestseller! Winner of Best Science Fiction in the 2020 Goodreads Choice Awards! To Sleep in a Sea of Stars is a brand new epic novel from #1 New York Times bestselling author of Eragon, Christopher Paolini. Kira Navárez dreamed of life on new worlds. Now she's awakened a nightmare. During a routine survey mission on an uncolonized planet, Kira finds an alien relic. At first she's delighted, but elation turns to terror when the ancient dust around her begins to move. As war erupts among the stars, Kira is launched into a galaxy-spanning odyssey of discovery and transformation. First contact isn't at all what she imagined, and events push her to the very limits of what it means to be human. While Kira faces her own horrors, Earth and its colonies stand upon the brink of annihilation. Now, Kira might be humanity's greatest and final hope . . . At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","Christopher Paolini","","688","200","2021-08-13T06:42:38Z","2021-09-15T23:21:58Z","","Reading","https://tse1.mm.bing.net/th?id=OIP.o-DEufyq5jyRv5rfMYhlTwHaLQ&pid=Api","2021-09-15T23:24:12Z=200,2021-09-15T23:21:58Z=0"
"3Cjz7DKv74MC","Warbreaker","Warbreaker is the story of two sisters - who happen to be princesses, the God King one of them has to marry, a lesser god, and an immortal trying to undo the mistakes he made hundreds of years ago. Theirs is a world in which those who die in glory return as gods to live confined to a pantheon in Hallandren's capital city. A world transformed by BioChromatic magic, a power based on an essence known as breath. Using magic is arduous: breath can only be collected one unit at a time from individual people. But the rewards are great: by using breath and drawing upon the color in everyday objects, all manner of miracles and mischief can be performed. Brandon Sanderson proves again that he is a master of what Tolkien called 'secondary creation,' the invention of whole worlds, complete with magics and myths all their own.","Brandon Sanderson","","688","688","2021-08-13T06:42:38Z","2021-01-13T23:40:00Z","2021-01-30T23:40:00Z","Read","https://tse2.mm.bing.net/th?id=OIP.EHINyKJgk34NZqxSd3fxyAHaLT&pid=Api",""
"4g7JAQAACAAJ","Words of Radiance","","Brandon Sanderson","","1088","1088","2021-08-13T06:42:38Z","2021-03-17T12:35:00Z","2021-05-19T13:35:00Z","Read","https://tse2.mm.bing.net/th?id=OIP.X6hhiSlrkzbxkrRMOPxU_QAAAA&pid=Api",""
